pa_ms,pa_anvisa_sim,dist_lev,tipo
ERBIMIX,ESBIOL,4.0,princípio ativo
N-FOSONOMETIL,FOSETIL,4.0,princípio ativo
RANDAP ROUNDUP,CARTAPE,4.0,princípio ativo
ARTEMI,CARTAPE,4.0,princípio ativo
BUNGE,BORAX,4.0,princípio ativo
UPL FAMOSO,FORATO,4.0,princípio ativo
VOLCANO E MILENIA,CINETINA,4.0,princípio ativo
VENEVO DE RATO,ETEFOM,4.0,princípio ativo
CARBAMAZEPINA LIQUIDA,DIQUATE,4.0,princípio ativo
AGROTOXICO USADO NO CAFE,ETANOL,4.0,princípio ativo
JURADAM,TIRAM,4.0,princípio ativo
TULSO,ASULAM,4.0,princípio ativo
PAQUARATE 200G/L,DIQUATE,4.0,princípio ativo
CEPETRIM,CLETODIM,4.0,princípio ativo
"DMA 2,4 D 10 ML",MSMA,4.0,princípio ativo
"AGROTOXICO,USO AGRICOLA",URACILA,4.0,grupo químico
NAO SOUBE REFERIR,BORAX,4.0,princípio ativo
HONDIEP-GRANULADO,DODINA,4.0,princípio ativo
GRAMATONE,GUAZATINA,4.0,princípio ativo
AMONIO,FOXIM,4.0,princípio ativo
ERVIMIX,PRIME,4.0,princípio ativo
K- O  TRIN,AMETRINA,4.0,princípio ativo
"BIOINSET,TERMIDIL,DIMY E OLEO DIMY",CLETODIM,4.0,princípio ativo
RONDRUO ( MATA RATO ),ENDRIN,4.0,princípio ativo
GARBON,CARBOXINA,4.0,princípio ativo
NAO SABE REFERIR O NOME,ENDRIN,4.0,princípio ativo
CETABRON,ETANOL,4.0,princípio ativo
AGROTOXICO IGNORADO,FORATO,4.0,princípio ativo
DESIZO / VENENO DE FUMO,DECANOL,4.0,princípio ativo
FORMICIDOL,FORMOTIOM,4.0,princípio ativo
RANDP/GRAMOCHONE,ETANOL,4.0,princípio ativo
VENENO PARA FLOR,DECANOL,4.0,princípio ativo
FERTILIZANTE MINERAL,AMITRAZ,4.0,princípio ativo
HERBICIDIA,TERBACILA,4.0,princípio ativo
TOP MAX,BORAX,4.0,princípio ativo
SOBERAN,BORAX,4.0,princípio ativo
N PHOSPHONOMETHYL GLICINE,AVIGLICINA,4.0,princípio ativo
HEHICIDA,ANILIDA,4.0,grupo químico
GAL,ETANOL,4.0,princípio ativo
GRAMAXIL,BENALAXIL,4.0,princípio ativo
NUTRIFIX,NITRALIN,4.0,princípio ativo
SIPTIM,DIUROM,4.0,princípio ativo
FUNGICIDA B 500 WG5,ANILIDA,4.0,grupo químico
SAL DE AMONIO,FOXIM,4.0,princípio ativo
DEPAKOTE 500 MG,DECANOL,4.0,princípio ativo
FAVOLITO,FORATO,4.0,princípio ativo
CLORAZEPAM,CLOMAZONA,4.0,princípio ativo
BIO APER,BIXAFEM,4.0,princípio ativo
SILTREN,ALDRIN,4.0,princípio ativo
RAODAP,CARTAPE,4.0,princípio ativo
BIOCARD,DINOCAPE,4.0,princípio ativo
VENENO TORDON,DECANOL,4.0,princípio ativo
TALSTAR 100EC,FTALIDA,4.0,princípio ativo
ZAPHIR,IMAZAPIR,4.0,princípio ativo
TITANIO,ETANOL,4.0,princípio ativo
DEMOLIDA/VALCANE,CARTAPE,4.0,princípio ativo
ROUNDUP ORIGINAL,ORIZALINA,4.0,princípio ativo
MATA INSETO,FOSMETE,4.0,princípio ativo
COMBINE 500SC   PROVENCE 750 WG,DODINA,4.0,princípio ativo
ALCOOL  -  F10.0,ALACLORO,4.0,princípio ativo
MOSCARINO,BOSCALIDA,4.0,princípio ativo
"DIMETHYLAMMONIUM(2,4 DICHLOROPHENOXY)ACETATE(2,4D DIMETILAMI",DIMETENAMIDA,4.0,princípio ativo
VENENO PARA PERCEVEJO,DECANOL,4.0,princípio ativo
"INTREPID,LANNATE,MASATH",CARTAPE,4.0,princípio ativo
GRAMACIOL,BROMACILA,4.0,princípio ativo
FORMIGAN,FOSFINA,4.0,princípio ativo
CHUMBINHO + MACONHA + ALCOOL,ALACLORO,4.0,princípio ativo
FLOROSUPER,FLUROXIPIR,4.0,princípio ativo
INGESTA DE RANDAP,CARTAPE,4.0,princípio ativo
MILINIA,DODINA,4.0,princípio ativo
GRANUTOX 150 G,GERANIOL,4.0,princípio ativo
ROUNDUP PSAQC,MSMA,4.0,princípio ativo
FURADAN E CRUISER,FLURIDONA,4.0,princípio ativo
FULL,ASULAM,4.0,princípio ativo
PICUS,MCPA,4.0,princípio ativo
VENENO PARA PULGAO,ASULAM,4.0,princípio ativo
BORSBOU,BORAX,4.0,princípio ativo
GRAMICIDA,BROMACILA,4.0,princípio ativo
FORMIGIDA BIRLANE - 50,CARTAPE,4.0,princípio ativo
VENENO DE OLHO DO FUMO,DECANOL,4.0,princípio ativo
FLYTICK,FENTINA,4.0,princípio ativo
SUMIRODY 300,SUMITRINA,4.0,princípio ativo
VENENO CURION,DECANOL,4.0,princípio ativo
WG,MSMA,4.0,princípio ativo
N- FOSFONAMETIL,FOSFONATO,4.0,grupo químico
DOEDECIL DOEDECILDIMETILSMONIO,FOSETIL,4.0,princípio ativo
RUNDAP - 1 COPO E MEIO DILUIDO EM AGUA,DIUROM,4.0,princípio ativo
LORSBAN 480BR,BORAX,4.0,princípio ativo
MILENIA TROP,CINETINA,4.0,princípio ativo
"TRODON,ADVANCE",DODINA,4.0,princípio ativo
DECIS 25,DECANOL,4.0,princípio ativo
K-OTRINE 5C 25,AMETRINA,4.0,princípio ativo
GRAMOXONA,FAMOXADONA,4.0,princípio ativo
RAIND-EUP,ATRAZINA,4.0,princípio ativo
FLANATE VENENO PARA LAGARTA,DECANOL,4.0,princípio ativo
METAFORSE,METANOL,4.0,princípio ativo
RANDAP MATA MATA,CARTAPE,4.0,princípio ativo
K-OTRINI,ATRAZINA,4.0,princípio ativo
DITHNE,DODINA,4.0,princípio ativo
CLAVILIN SEDALGINA,SIMAZINA,4.0,princípio ativo
CAPTORPIL,CARBARIL,4.0,princípio ativo
SEVIN,DODINA,4.0,princípio ativo
BIRETODIO,CLETODIM,4.0,princípio ativo
PESTICIDA ORGANOCLORADOS,ORGANOBROMADO,4.0,grupo químico
RADAPI,CARTAPE,4.0,princípio ativo
D-46,MSMA,4.0,princípio ativo
VENENO PARA PLANTA NAO ESPECIFICADO,CAPTANA,4.0,princípio ativo
UPMGL,MSMA,4.0,princípio ativo
RONDAPE 24 D,CARTAPE,4.0,princípio ativo
ESTANDAK,ETANOL,4.0,princípio ativo
GALIGAN,FTALIDA,4.0,princípio ativo
HEZIVON,HEXAZINONA,4.0,princípio ativo
ZOLPIDEM,FOLPETE,4.0,princípio ativo
ALBATROZ,AMITRAZ,4.0,princípio ativo
FURADAN 350 TS,FLURIDONA,4.0,princípio ativo
RANDAPY E 24D,CARTAPE,4.0,princípio ativo
K -OTHRINE,ALDRIN,4.0,princípio ativo
RANDAP OU ROUNDUP,CARTAPE,4.0,princípio ativo
K-OTHRINE,ALDRIN,4.0,princípio ativo
PEHOSETE,DAZOMETE,4.0,princípio ativo
KRAF+,TIRAM,4.0,princípio ativo
FELIDOL,DECANOL,4.0,princípio ativo
FURADAM 350SC,TIRAM,4.0,princípio ativo
GRANOXANE,GRANDLURE,4.0,princípio ativo
TRACTOR,ALACLORO,4.0,princípio ativo
VANDAP,CARTAPE,4.0,princípio ativo
BROTAMATO,BUTILATO,4.0,princípio ativo
DEROSAL PLUS,DECANOL,4.0,princípio ativo
ETREH,ETANOL,4.0,princípio ativo
ISETICOM,ETEFOM,4.0,princípio ativo
LAMOTE,DAZOMETE,4.0,princípio ativo
GESAPON,DECANOL,4.0,princípio ativo
"CITRONELOL 1,0G",CETOENOL,4.0,grupo químico
KLORPAN CE,BORAX,4.0,princípio ativo
PROSTORE 2 P,PROMETON,4.0,princípio ativo
THINNER,ZINEB,4.0,princípio ativo
NAO SE EXPLICA,FTALIDA,4.0,princípio ativo
RANDAP+ CARBAMAZEPINA,CARTAPE,4.0,princípio ativo
MARGETY,MANEBE,4.0,princípio ativo
INSETICIDA PARA PLANTA,CAPTANA,4.0,princípio ativo
PLATINO DEL,FENTINA,4.0,princípio ativo
SUMIFOG 70,TEMEFOS,4.0,princípio ativo
PAROCAP,CARTAPE,4.0,princípio ativo
AGROTOXICO DE USO AGRICOLA,URACILA,4.0,grupo químico
SJETTRO,ACETATO,4.0,grupo químico
GARLON 480 BR,MERFOS,4.0,princípio ativo
3-4 DICLOROFENIL 1 DIMETILUREIA,DINITROFENOL,4.0,grupo químico
MAO BRANCA PARA PLANTAS,ETANOL,4.0,princípio ativo
BACILLUS SUBTILIS LINHAGEM QST 713,BIXAFEM,4.0,princípio ativo
VENENO RATO,DECANOL,4.0,princípio ativo
SISTEM/ITERPRETE/GRIS 240,BIXAFEM,4.0,princípio ativo
SAL DE ISOPROPLAMIDA 480,CARPROPAMIDA,4.0,princípio ativo
nan,MSMA,4.0,princípio ativo
FYFANON ULV,DECANOL,4.0,princípio ativo
POAST,BORAX,4.0,princípio ativo
"AMANCO 0,16%",ETANOL,4.0,princípio ativo
D- DIMETILANINA,DIMETENAMIDA,4.0,princípio ativo
ALCOOL COMBUSTIVEL,ALACLORO,4.0,princípio ativo
VERTIMEQ,PRIME,4.0,princípio ativo
FORMICIDA GRAO VERDE,METAM,4.0,princípio ativo
ZAPQI 9SECANTE),MCPA,4.0,princípio ativo
NAO LEMBRA O NOME DO AGROTOXICO,MSMA,4.0,princípio ativo
TORDOR,TIRAM,4.0,princípio ativo
CYPERMRTHRIN,CIPERMETRINA,4.0,princípio ativo
RANDAP 350ML P/20ML/AGUA,CARTAPE,4.0,princípio ativo
ENERGETICO,INORGANICO,4.0,grupo químico
ZAPP QI600,TIRAM,4.0,princípio ativo
SEMPRA,MSMA,4.0,princípio ativo
SATANDAK TOP,CAPTANA,4.0,princípio ativo
3D,MSMA,4.0,princípio ativo
AGETEC,METAM,4.0,princípio ativo
PADAP,CARTAPE,4.0,princípio ativo
FURADAN TOMOU + OU - 10 ML,ETANOL,4.0,princípio ativo
OSMOTOX PLUS,FOSMETE,4.0,princípio ativo
UBYFOL,ETANOL,4.0,princípio ativo
MAE NAO SOUBE RELATAR,METAM,4.0,princípio ativo
RECOPE,MCPA,4.0,princípio ativo
CUPINICINA,CINETINA,4.0,princípio ativo
MATO MATO,OMETOATO,4.0,princípio ativo
VENENO UTILIZADO NO PLANTIO DO ABACAXI,DECANOL,4.0,princípio ativo
RAUNDAP  EVIDENCE,ETILENO,4.0,grupo químico
AGROTOXICO (LANAT ),ETANOL,4.0,princípio ativo
GASTOXIN COMPREMIDO,CARBOXINA,4.0,princípio ativo
RONDAPIO,LINDANO,4.0,princípio ativo
HEMIFLUORETO DE QUETIAPINA 200MG,BUTRALINA,4.0,princípio ativo
VENENO ARTS,DECANOL,4.0,princípio ativo
FORT HORTALICA,BOSCALIDA,4.0,princípio ativo
BROMAZEPAM,BROMACILA,4.0,princípio ativo
CLORIDRATO DE OXIBUTININA,PIRIDATO,4.0,princípio ativo
PIRAMIDE,CIANAMIDA,4.0,princípio ativo
RANDAK,LINDANO,4.0,princípio ativo
ARYSTA LIFESCIENCE,MSMA,4.0,princípio ativo
VENENO,DECANOL,4.0,princípio ativo
FURACARB 100 G,BENFURACARBE,4.0,princípio ativo
LANASTE,MANEBE,4.0,princípio ativo
PRIMEPLUS/PAQIOR/SARP,TRIMEDLURE,4.0,princípio ativo
CURATEC,CARTAPE,4.0,princípio ativo
INIBIDOR DE ACETILCLINESTERASE,ANILIDA,4.0,grupo químico
INSEMAX (PULVERIZACAO),MSMA,4.0,princípio ativo
DITROFOSFATO DE DICTIL,DECANOL,4.0,princípio ativo
RONDGIL,FOSETIL,4.0,princípio ativo
FUPLADAN,FTALIDA,4.0,princípio ativo
LANOTI,ETANOL,4.0,princípio ativo
VENENO USADO EM PLANTACAO DE SOJA,DECANOL,4.0,princípio ativo
PULVERIZACAO DE PE DE LARANJA,CAPTANA,4.0,princípio ativo
FORMIDEX,FOSMETE,4.0,princípio ativo
DONTOR,DODINA,4.0,princípio ativo
GLYCINE,ALDRIN,4.0,princípio ativo
AGROTOXICO DE USO DOMESTICO - FORMICIDA,FORMOTIOM,4.0,princípio ativo
"DUOENER,HIPIDEAGER,MUREVEL",MANEBE,4.0,princípio ativo
CARBOTOP,CARTAPE,4.0,princípio ativo
CAMARON,CLOMAZONA,4.0,princípio ativo
2.40,MSMA,4.0,princípio ativo
B H C,BORAX,4.0,princípio ativo
RANDAPI E VENENO BRILHANTE,CARTAPE,4.0,princípio ativo
GENERAL,METIRAM,4.0,princípio ativo
VENENO BRANCO,DECANOL,4.0,princípio ativo
PULFO,ASULAM,4.0,princípio ativo
NUTOS 480,DIUROM,4.0,princípio ativo
ACCENT,ACEFATO,4.0,princípio ativo
DORMEC,DODINA,4.0,princípio ativo
RANDAP - UP,CARTAPE,4.0,princípio ativo
ADUBO FLOLHAR FALSTER,ASULAM,4.0,princípio ativo
AGROTOXICO PADRAO,TIRAM,4.0,princípio ativo
AMNONIUM N,ACLONIFEM,4.0,princípio ativo
ITROMAX,DIUROM,4.0,princípio ativo
TAMOROM,DIUROM,4.0,princípio ativo
RAUND - UP,MACEX,4.0,princípio ativo
GRANOCIL,ETANOL,4.0,princípio ativo
KLORPAN 480 EC,BORAX,4.0,princípio ativo
DOMARK,DODINA,4.0,princípio ativo
HERBRICIDA,TERBACILA,4.0,princípio ativo
K OLTHRINE,ALETRINA,4.0,princípio ativo
FORMICIDA GRANULADA DI,GRANDLURE,4.0,princípio ativo
"INCRIVEL AMPLIGO ,STATUS",ETANOL,4.0,princípio ativo
HANDAP LIQUIDO,CARTAPE,4.0,princípio ativo
DIAZETOP PM,DIAZINONA,4.0,princípio ativo
AGROTOXO AGRICOLA,URACILA,4.0,grupo químico
IVOMEX,BORAX,4.0,princípio ativo
MANCOZEBE750G/KG,MANCOZEBE,4.0,princípio ativo
DISSULFAN,DISSULFOTOM,4.0,princípio ativo
"PIRATE10ML,NUFOS20ML,ABAMECTIN20ML,BRILHANTE20ML,CALCIBORO5M",ABAMECTINA,4.0,princípio ativo
"TAMARON,DECIS,CERCOBIN",CARBOXINA,4.0,princípio ativo
PENASA,FENTINA,4.0,princípio ativo
VENENO P PLANTA,CAPTANA,4.0,princípio ativo
LAVOURA PONKAN,BORAX,4.0,princípio ativo
"FOLISUFER,",FOMESAFEM,4.0,princípio ativo
AGRICOLA,URACILA,4.0,grupo químico
NAO TEM,NALEDE,4.0,princípio ativo
EVITAR BROTACAO,AMITRAZ,4.0,princípio ativo
HERMICIDA ( HEMOXONE),FYOMONE,4.0,princípio ativo
ISETICIDA,ACETAMIDA,4.0,grupo químico
GLICOSFOL,GLIFOSATO,4.0,princípio ativo
CIPERTRIM,CIPERMETRINA,4.0,princípio ativo
CITRONELA,FIPRONIL,4.0,princípio ativo
DISUFAN,ASULAM,4.0,princípio ativo
INIBIDOR INESPECIFICO DA COLINESTERASE,ANILIDA,4.0,grupo químico
ROUDUP ORIGINAL DI,ORIZALINA,4.0,princípio ativo
BICERDO,ALDEIDO,4.0,grupo químico
MATA MATA / MACONHA,MCPA,4.0,princípio ativo
VENENO DE SEMENTE,DECANOL,4.0,princípio ativo
"HANDAP,PREDNISONA,CEFALEXINA",CARTAPE,4.0,princípio ativo
MELATHIN,MALATIONA,4.0,princípio ativo
.BEBIDA ALCOOLICA_,FTALIDA,4.0,princípio ativo
VENENO PARA FERRUGEM,DECANOL,4.0,princípio ativo
VENENO PARA CANA,DECANOL,4.0,princípio ativo
FULAND,ASULAM,4.0,princípio ativo
VENENO PARA SOJA,DECANOL,4.0,princípio ativo
FLERC,FOLPETE,4.0,princípio ativo
DEFENSIVO AGRICOLA NAO ESPECIFICADO,URACILA,4.0,grupo químico
PANDAP,CARTAPE,4.0,princípio ativo
ADUBO QUIMICO,ASULAM,4.0,princípio ativo
DECIS 25 ES,DECANOL,4.0,princípio ativo
METILCARBONATO DE BERZOFIRANILA,METILCARBAMATO DE BENZOFURANILA,4.0,grupo químico
EVIDENSIO,ETILENO,4.0,grupo químico
HIDROXIDO DE CALCIO,ALDRIN,4.0,princípio ativo
FORNICIDA GRANULADO,FLONICAMIDA,4.0,princípio ativo
VILDAGLIPTINA/CLORIDRATO DE METFORMINA,AMETRINA,4.0,princípio ativo
"VENENO 1,2,4 D",DECANOL,4.0,princípio ativo
DERCI,DIUROM,4.0,princípio ativo
NOMALT,MSMA,4.0,princípio ativo
FASTAC DUO/BASF,ASULAM,4.0,princípio ativo
BAC CONTROL WP,FENOTIOL,4.0,princípio ativo
IMEDACLOPEDRO,IMIDACLOPRIDO,4.0,princípio ativo
METUZARAN,METIRAM,4.0,princípio ativo
NAO SABE RELATAR O NOME,METAM,4.0,princípio ativo
LANNATE,CARTAPE,4.0,princípio ativo
PLENIO,ALDRIN,4.0,princípio ativo
RONTAP,CARTAPE,4.0,princípio ativo
VENENO DE ROCA/FUNACOR,DECANOL,4.0,princípio ativo
POLITRIM,ESBIOTRIM,4.0,princípio ativo
ETRL NUTRICANA,BUTRALINA,4.0,princípio ativo
K-OTRINE SC 25,AMETRINA,4.0,princípio ativo
RONDUPE,GRANDLURE,4.0,princípio ativo
NIPOCON,IPBC,4.0,princípio ativo
AGROXICO AGRICULA,URACILA,4.0,grupo químico
COBRE 8%,CUELURE,4.0,princípio ativo
CIATOX,ACEFATO,4.0,princípio ativo
EQUITAN,QUINONA,4.0,grupo químico
DECECANTE,DECANOL,4.0,princípio ativo
VERMITC,EPTC,4.0,princípio ativo
SAL DE ISOPROPILAMINA DE N-GLICINE,AVIGLICINA,4.0,princípio ativo
VENENO DE PALHA DE MILHO,DECANOL,4.0,princípio ativo
NI1,MSMA,4.0,princípio ativo
ARRIVO 200 EC,ALDRIN,4.0,princípio ativo
VENENO PARA PERNILONGO,DECANOL,4.0,princípio ativo
GASTOXIN+RATICIDA=CHUMBINHO,CARBOXINA,4.0,princípio ativo
FERTILIZANTE CALCITE,CARTAPE,4.0,princípio ativo
-ACQUAMAX TOP-2% DE AGENTE QUELANTE,ACEFATO,4.0,princípio ativo
LT INDUTOR,LINUROM,4.0,princípio ativo
AGROTOXICO QUE VEM JUNTO C/ SEMENTE MILHO SECO,DIUROM,4.0,princípio ativo
VENENO P MATO,DECANOL,4.0,princípio ativo
PERSIST SC,MERFOS,4.0,princípio ativo
MILENIA,CINETINA,4.0,princípio ativo
TALSTAR-E BAZUKA,ASULAM,4.0,princípio ativo
LATUS PREMIUM,METAM,4.0,princípio ativo
KASUNAIN COMPOSICAO,ASULAM,4.0,princípio ativo
RAN-UP,MANEBE,4.0,princípio ativo
DDVT,DODINA,4.0,princípio ativo
MANGANES,TANINOS,4.0,princípio ativo
RANDAP 24D,CARTAPE,4.0,princípio ativo
TAMARON GRANULADO,GRANDLURE,4.0,princípio ativo
NIQUEL+MOLIBDENIO,DIQUATE,4.0,princípio ativo
INSETICIDA NAO INFORMADO,FORATO,4.0,princípio ativo
PLEMUM ( MATA PASTO ),ETEFOM,4.0,princípio ativo
GRANOXINE,GRANDLURE,4.0,princípio ativo
BENZENO VAPOR,BENTAZONA,4.0,princípio ativo
VENENO MATA-MATO,DECANOL,4.0,princípio ativo
ANGEL,ETANOL,4.0,princípio ativo
COMMAND 3 ME,CAPTANA,4.0,princípio ativo
VENENO TEMIK,DECANOL,4.0,princípio ativo
RANDAP  / GRAMOCIL,BROMACILA,4.0,princípio ativo
LANAT BR,ETANOL,4.0,princípio ativo
KRAFT 36EC,TIRAM,4.0,princípio ativo
HANDAPH,CARTAPE,4.0,princípio ativo
AMPLIGO,ANILIDA,4.0,grupo químico
GARLOM,ASULAM,4.0,princípio ativo
ROUNDUOP/RANDAP,CARTAPE,4.0,princípio ativo
VENENO EM PO,DECANOL,4.0,princípio ativo
DITHANI,DITIANONA,4.0,princípio ativo
ALSYSTIN 250 PM,ALDRIN,4.0,princípio ativo
GRAMICIL,BROMACILA,4.0,princípio ativo
NORESTIM,FOSETIL,4.0,princípio ativo
SANSAN HO,CAPTANA,4.0,princípio ativo
FOLESUPER,FOMESAFEM,4.0,princípio ativo
CONECTI LIQUIDO,CINETINA,4.0,princípio ativo
FORMICIDA PIKGRAN40 PICA PAU,FORMOTIOM,4.0,princípio ativo
VENENO P/ PULGAO DE SOJA,ASULAM,4.0,princípio ativo
OUTROS,DIUROM,4.0,princípio ativo
TRINCAO,TIRAM,4.0,princípio ativo
RONDON,DODINA,4.0,princípio ativo
VENENO DESCONHECIDO,DECANOL,4.0,princípio ativo
AGRICOLOR (GRAMOCIL),BROMACILA,4.0,princípio ativo
ASSITI,ASULAM,4.0,princípio ativo
AGRITOATO DMA806BR,DIMETOATO,4.0,princípio ativo
SURADAN,UREIA,4.0,grupo químico
KESHET,FOSMETE,4.0,princípio ativo
VENENO PARA RATO - CHUMBINHO,DECANOL,4.0,princípio ativo
AGRIPEC,IPBC,4.0,princípio ativo
GAMOXONE,FAMOXADONA,4.0,princípio ativo
FURADAN 350C,FLURIDONA,4.0,princípio ativo
VANTIGO,FENTINA,4.0,princípio ativo
COLOCO,FORATO,4.0,princípio ativo
VENENO BRILHANTE,DECANOL,4.0,princípio ativo
46 ( NOME POPULAR ),ASULAM,4.0,princípio ativo
DANATI,DIQUATE,4.0,princípio ativo
FERTILIZANTE SALITRE,AMITRAZ,4.0,princípio ativo
TORDON (USO AGRICULA),DODINA,4.0,princípio ativo
FOLIDOL,FOSETIL,4.0,princípio ativo
KOHINOR 200 SC,DODINA,4.0,princípio ativo
IOCTOX,BORAX,4.0,princípio ativo
MUSTANI,CAPTANA,4.0,princípio ativo
KOSIDE,DODINA,4.0,princípio ativo
VENENO PARA RATO,DECANOL,4.0,princípio ativo
DOMARK 100 CE,DODINA,4.0,princípio ativo
BONDER,BORAX,4.0,princípio ativo
TENUK,ETANOL,4.0,princípio ativo
CERCOBIN 700 PM,CARBOXINA,4.0,princípio ativo
WEXTER,METAM,4.0,princípio ativo
CURYON 550,DIUROM,4.0,princípio ativo
"BELT,FOX",ETEFOM,4.0,princípio ativo
"1,1 DIMETRYL - 4,4 BIPYDINIUM",DIMETOATO,4.0,princípio ativo
CUMBINHO,CUMAFENO,4.0,princípio ativo
KOMUS,MSMA,4.0,princípio ativo
AGRITOATO,DIMETOATO,4.0,princípio ativo
SENCOR,ENXOFRE,4.0,princípio ativo
HORTENE,CARTAPE,4.0,princípio ativo
MADEMATA,ACEFATO,4.0,princípio ativo
MATA MATO/RANDAPI E GREMOTONE,PROMETON,4.0,princípio ativo
APPLAUD,ASULAM,4.0,princípio ativo
DIAZETOPE,DICLOFOPE,4.0,princípio ativo
N-PHOSPHONOMETHYL GLYCINE,ALDRIN,4.0,princípio ativo
ORTUS,METAM,4.0,princípio ativo
COMU/ MAX SIN,MSMA,4.0,princípio ativo
APRAZOLAN,ATRAZINA,4.0,princípio ativo
DMA 4D,MACEX,4.0,princípio ativo
"IHIODAN,",ETIONA,4.0,princípio ativo
FORMICIDA PO 40 PIKADAU,FORMOTIOM,4.0,princípio ativo
COLTRINE,AMETRINA,4.0,princípio ativo
KLORPAN 480,BORAX,4.0,princípio ativo
FASTAC 100/250ML,ASULAM,4.0,princípio ativo
RAUDAPI,CARTAPE,4.0,princípio ativo
VENENO AGROTOXICO DESCONHECE O NOME,DECANOL,4.0,princípio ativo
FURASAN,FORATO,4.0,princípio ativo
TORDON BR,DODINA,4.0,princípio ativo
LOSARTANA,CAPTANA,4.0,princípio ativo
RAMDAPP,CARTAPE,4.0,princípio ativo
ARSENICO,ALDEIDO,4.0,grupo químico
POLYTRIN 400/40 CE,PROMETRINA,4.0,princípio ativo
FLUMIZIN,FLUAZINAM,4.0,princípio ativo
HEREADOX 406EC,IPBC,4.0,princípio ativo
VENEDO DE PASTO,ETEFOM,4.0,princípio ativo
THORDO,TIRAM,4.0,princípio ativo
ATTACK,CARTAPE,4.0,princípio ativo
DIAZEPAM LICON,DIUROM,4.0,princípio ativo
WARRANT 750 WG,CARTAPE,4.0,princípio ativo
ROCENDEYS ORIGINAL,ORIZALINA,4.0,princípio ativo
ASTOXIN,CARBOXINA,4.0,princípio ativo
NAO RECORDA O NOME,CETONA,4.0,grupo químico
TORDON MATA MATO/PASTO,DODINA,4.0,princípio ativo
"O,O DIETIL-2 ISOPROPIL-6 PIRIMIDIL-TIOFOSFATO",GLIFOSATO,4.0,princípio ativo
HERMECIDA,PERMETRINA,4.0,princípio ativo
PRADRAO,PIRIDATO,4.0,princípio ativo
BRASUKA,ASULAM,4.0,princípio ativo
EXALT,ETANOL,4.0,princípio ativo
BLOCAIM,BORAX,4.0,princípio ativo
CRONNOS,TANINOS,4.0,princípio ativo
NIMBUS,IPBC,4.0,princípio ativo
VENENO PAR CONTROLE DE PRAGAS PARA MANDIOCA,DECANOL,4.0,princípio ativo
FURADAN INSETICIDA DE SOLO,FLURIDONA,4.0,princípio ativo
PASTILHA DE FEIJAO,FENTINA,4.0,princípio ativo
FURODAM,DIUROM,4.0,princípio ativo
SELETO,ACEFATO,4.0,princípio ativo
NAO IMFORMADO,FORATO,4.0,princípio ativo
LANAR,ETANOL,4.0,princípio ativo
AGROTOXICO FURADAN,FLURIDONA,4.0,princípio ativo
VENENO LAGARTA,DECANOL,4.0,princípio ativo
"FURADAM,CHUMBINHO",TIRAM,4.0,princípio ativo
FORMICIDA /AERINICIDA,FORMOTIOM,4.0,princípio ativo
HURION,DIUROM,4.0,princípio ativo
DIETHIL 0-3-5-6,FOSETIL,4.0,princípio ativo
CLORATIPRIFHOS,CLORPIRIFOS,4.0,princípio ativo
COLA PARA VENENO,DECANOL,4.0,princípio ativo
DIMITRALINA,BUTRALINA,4.0,princípio ativo
AGENTE PARA MATO,ACEFATO,4.0,princípio ativo
CLOSPAM,DICLOSULAM,4.0,princípio ativo
PIKGRAN 40,PICLORAM,4.0,princípio ativo
METRIMEX E VULCANO,AMETRINA,4.0,princípio ativo
DUEZIMOL,DECANOL,4.0,princípio ativo
THIAMETHOSAN,TIAMETOXAM,4.0,princípio ativo
NIMBUS/KIBOA,DIUROM,4.0,princípio ativo
METFORMINA 50COMP,AMETRINA,4.0,princípio ativo
PARADOSC,PARATION,4.0,princípio ativo
VENENO PARA PLANTACAO DE FEIJAO,DECANOL,4.0,princípio ativo
LI NARRO BLOON,DIUROM,4.0,princípio ativo
VENENO PARA LAVOURA DE CAFE,DECANOL,4.0,princípio ativo
DEMAXONA,BENTAZONA,4.0,princípio ativo
TEMIK%,TEMEFOS,4.0,princípio ativo
2 QUATRO 0,DIQUATE,4.0,princípio ativo
TOMARON,CLOMAZONA,4.0,princípio ativo
SHADOW,ETANOL,4.0,princípio ativo
CEPETRIN,AMETRINA,4.0,princípio ativo
INTOXICACAO POR APLICACAO DE VENENO,DECANOL,4.0,princípio ativo
DANTON,CAPTANA,4.0,princípio ativo
RANDAP WG,CARTAPE,4.0,princípio ativo
CLONAZEPAN 10 GTS,CLOMAZONA,4.0,princípio ativo
ORTENE,CARTAPE,4.0,princípio ativo
RUMBO,MSMA,4.0,princípio ativo
KASOR,ETANOL,4.0,princípio ativo
DANAT,DECANOL,4.0,princípio ativo
RANDAP 2COPOS,CARTAPE,4.0,princípio ativo
VENENO N/E,DECANOL,4.0,princípio ativo
SAL DE DMETILAMINA,DIMETENAMIDA,4.0,princípio ativo
FUGICIDA,FTALIDA,4.0,princípio ativo
TARDANI,CARTAPE,4.0,princípio ativo
"DECIS ,SIMPLINTI E CILAMAXON",CLOMAZONA,4.0,princípio ativo
KLAPP,MCPA,4.0,princípio ativo
NUFUS,MERFOS,4.0,princípio ativo
VENENO EM PLANTACAO,DECANOL,4.0,princípio ativo
SIPTRAN,AMITRAZ,4.0,princípio ativo
"RIFOMPICINA,FORMICIDA",FORMOTIOM,4.0,princípio ativo
