nome_ms,prod_mais_similar,dist_lev,ingrediente,tipo
OZERA,FERA,2.0,GLIFOSATO,princípio ativo
ACIDO PIRIDINO CARBONILCICO,ZARDO,3.0,"2,4 - D",princípio ativo
FOLISUPE,COLISEO,4.0,ATRAZINA,princípio ativo
CLOROPHONYL PYRAPOL YLOXYME THYLPHOYL METHOXY,METRY,3.0,METRIBUZIM,princípio ativo
NANDAP,AUDAZ,3.0,FLUXAPIROXADE,princípio ativo
NORTOX (FAIXA AZUL),NORTON,1.0,"SAL TRIETANOLAMINADE 2,4 - D+SAL DE TRIETANOLAMINA DE PICLORAM",princípio ativo
FLUAZIFOPE,AIRONE,6.0,HIDROXIDO DE COBRE,princípio ativo
BRUTOS,BRUTOBR,2.0,"2,4 - D",princípio ativo
FOSTAC,COSTAR,2.0,BACILLUS THURINGIENSIS,princípio ativo
ROOUNDEUP,THUNDER,5.0,AMICARBAZONA,princípio ativo
BAMAGEM,MAGIC,4.0,IPRODIONA,princípio ativo
CORPLAM,COPA,3.0,DIFLUBENZUROM,princípio ativo
"METRIMEX,PROVENDE E VULCANE;",METIE,3.0,METARHIZIUM ANISOPLIAE,princípio ativo
SCNADAZOL,CAPAROL,4.0,PROMETRINA,princípio ativo
CYPERCLOR,SYNERO,5.0,AMINOPIRALIDE,princípio ativo
ALDECORT,ALTACOR,3.0,CHLORANTRANILIPROLE,princípio ativo
INTOXIFENOZIDA,INSIDIOMIP,9.0,ORIUS INSIDIOSUS,princípio ativo
NICOSULFORON,RINCOFOROL,6.0,RINCOFOROL,princípio ativo
SODA,SORBA,2.0,LUFENUROM,princípio ativo
NORTOX,NORTON,1.0,"SAL TRIETANOLAMINADE 2,4 - D+SAL DE TRIETANOLAMINA DE PICLORAM",princípio ativo
"MARSHAL,PRIORI E REGENTE",MAXSAN,3.0,DINOTEFURAM,princípio ativo
3T,NATU,3.0,DIFLUBENZUROM,princípio ativo
DELTHRINE,DOLPHIN,4.0,TIOFANATO-METILICO,princípio ativo
BEZECNOL,BIOGENOL,4.0,METIL EUGENOL,princípio ativo
IMIDACROPIDE,PILARTIME,7.0,TIOFANATO-METILICO,princípio ativo
"O,O DIETIL-2 ISOPROPIL-6 PIRIMIDIL-TIOFOSFATO",MISSIL,5.0,HALOXIFOPE-P-METILICO,princípio ativo
FOLISSUPER (ORGOFOSFORATO),COLISEO,5.0,ATRAZINA,princípio ativo
AGUA OXIGENADA,GRANADA,5.0,BEAUVERIA BASSIANA,princípio ativo
TAMRON,TIMON,2.0,IMIDACLOPRIDO,princípio ativo
K -OTHRINE,STARKLE,4.0,DINOTEFURAM,princípio ativo
IVERMECTINA,VERDICT NF,5.0,HALOXIFOPE-P-METILICO,princípio ativo
DEPOKENE ACIDO 250MG,ZARDO,3.0,"2,4 - D",princípio ativo
ACIDO FOSFOLICO,ZARDO,3.0,"2,4 - D",princípio ativo
ORGANOSFASFORADOS,HOROS SUPRA,11.0,PICOXISTROBINA,princípio ativo
DIAZINN,DIAMOND,3.0,TRICHODERMA KONINGIOPSIS,princípio ativo
GLIFOXTO,GLIFORTE,2.0,GLIFOSATO,princípio ativo
ORGANO FOSFORICO BASE,ARRANK,3.0,ACETAMIPRIDO,princípio ativo
"BRAVONIL,DACONIL",BRAVO,3.0,TRICHODERMA HARZIANUM,princípio ativo
IVOMEX,RIVAMAX,3.0,CARBENDAZIM,princípio ativo
"CLORAN TRANILIPROLG 35,00%",BLERAN,2.0,DIQUATE,princípio ativo
ORGAO FOSFARADO,SORBA,3.0,LUFENUROM,princípio ativo
KAIZO,RAIO,2.0,"PICLORAM, SAL DE TRIETANOLAMINA",princípio ativo
CLOSPAM,CLOSER,3.0,SULFOXAFLOR,princípio ativo
DOME,GAME,2.0,LUFENURON,princípio ativo
NOLAMINA,SUGARINA,4.0,AMETRINA,princípio ativo
CONFIDOR 700GRDA,HODOR,4.0,MANCOZEBE,princípio ativo
GRANOXANE,AXANE,4.0,CIANTRANILIPROLE,princípio ativo
PRIORI,PROFIX,3.0,BACILLUS SUBTILIS,princípio ativo
ARTYZ,AUDAZ,3.0,FLUXAPIROXADE,princípio ativo
DIMERON,BIMETRON,2.0,AMETRINA,princípio ativo
IMIDAZOLINA,IMAZALIL,5.0,IMAZALIL,princípio ativo
KALTRIN,CALARIS,3.0,MESOTRIONA,princípio ativo
CABRITOP,CASTOR,4.0,FIPRONIL,princípio ativo
NOSCA BUM,SORBA,3.0,LUFENUROM,princípio ativo
PINFENTRINA,CENTRIC,6.0,TIAMETOXAM,princípio ativo
DORMESE,ORBIS,4.0,TEBUCONAZOL,princípio ativo
FOCUS,ROCKS,2.0,BIFENTRINA,princípio ativo
LAMOTE,CAPOTE,2.0,TEBUTIUROM,princípio ativo
CRAFT,GRANT,2.0,"2,4 - D",princípio ativo
TRUPE,TRUPER,1.0,FLUROXIPIR MEPTILICO+ TRICLOPIR BUTOTILICO,princípio ativo
INTOXICACAO CUTANEA,CLEANER,3.0,CLOROTALONIL,princípio ativo
DESCOHECIDO,ECOTESIA,6.0,"COTESIA FLAVIPES (CAMERON,1891)",princípio ativo
NITROZINO,NIPPON,5.0,NICOSSULFUROM,princípio ativo
LANALT,LOYANT,3.0,FLORPIRAUXIFEN-BENZIL,princípio ativo
AGRITOATO DMA806BT,AGRILIST,4.0,"2,4 - D",princípio ativo
IMAZOPIC,IMAZALIL,3.0,IMAZALIL,princípio ativo
HELMOXANE,HELMOXONE,1.0,PARAQUATE,princípio ativo
ALAI,ATAK,2.0,TEBUCONAZOL,princípio ativo
"HORTOS,BRAVASIL,MELOMEX",HOROS,1.0,PICOXISTROBINA,princípio ativo
SAL DE POTASSIO DE N-PHOSPHONOMETHY 620/G/L,DEZ,1.0,"2,4 - D",princípio ativo
2 4 D,WILD,4.0,CLORPIRIFOS,princípio ativo
CAFENTRAZONA ETILICA,TRILLA,4.0,DIUROM,princípio ativo
ALFACIANO 3,DANIATO,5.0,ACEFATO,princípio ativo
FLEX,FINEX,2.0,INDOXACARBE,princípio ativo
ESTRICNINA,TRICEA,5.0,PYROXSULAM,princípio ativo
TORDON E PADRON,NADRAN,2.0,CLORETO DE MEPIQUATE,princípio ativo
DERSI,SENSEI,3.0,BUPROFEZINA,princípio ativo
AGROXAN,GOPAN,3.0,DIQUATE,princípio ativo
GLI-OVER,HOVER,1.0,BEAUVERIA BASSIANA,princípio ativo
RONUNDAP,CONTRAP,4.0,SERRICORNIM,princípio ativo
SENCOR,SECTOR,2.0,TRICLOPIR BUTOTILICO,princípio ativo
CAPTAM,CAPTOR,2.0,TIODICARBE,princípio ativo
LEMATO,NEMAT,2.0,PAECILOMYCES LILANUS,princípio ativo
ACERICOBIM,CERCONIL,4.0,TIOFANATO METILICO,princípio ativo
BRASUKA,BRAVO,4.0,TRICHODERMA HARZIANUM,princípio ativo
VERTINIC,VERTER,4.0,SULFOXAFLOR,princípio ativo
CIPERMIL,WIPER,4.0,CLOROTALONIL,princípio ativo
ETHEPHON,GLYPHON,4.0,GLIFOSATO,princípio ativo
"NEGOVAN,AGUA SANITARIA",GOPAN,3.0,DIQUATE,princípio ativo
CALDA,CELTA,2.0,PHYTOSEIULUS MACROPILIS,princípio ativo
MOSCABELL,DOBBEL,5.0,METARHIZIUM ANISOPLIAE,princípio ativo
DRAZENON 400,DRAGON,3.0,"2,4 - D",princípio ativo
CONGELANTE.,CONSENTO ,5.0,CLORIDRATO DE PROPAMOCARB+FENAMIDONA,princípio ativo
BETOX,METRY,3.0,METRIBUZIM,princípio ativo
ACIDO DICHOROFENOCIOCETICO,ZARDO,3.0,"2,4 - D",princípio ativo
TEFLUBENRON,BELURE TOP,6.0,PIRACLOSTROBINA,princípio ativo
FELIDOL,RELICTA,4.0,FLORPIRAUXIFEN-BENZIL,princípio ativo
SCHELTER,SHELTER,1.0,FIPRONIL,princípio ativo
TAUCORD 250,ACUCOR,3.0,LAMBDA-CIALOTRINA,princípio ativo
CALDO SULFOCALCICA,ZARDO,2.0,"2,4 - D",princípio ativo
CLOMAZONA500,SOLARA 500,7.0,SULFENTRAZONA,princípio ativo
FORDAN,SORBA,3.0,LUFENUROM,princípio ativo
FENITROTHION,CENTURION,6.0,CLETODIM,princípio ativo
ADEPOR,ACUCOR,3.0,LAMBDA-CIALOTRINA,princípio ativo
METANIEDEFOS - FORSOL,FUORO,3.0,LUFENUROM,princípio ativo
MEXAZINANA,HERBZINA,5.0,ATRAZINA,princípio ativo
HORTOCID,SORTIC,4.0,SULFOXAFLOR,princípio ativo
MAQUIAGEM DEFINITIVA,SAUVAGE,4.0,TEBUCONAZOLE,princípio ativo
DETOMIDIN 1%,CYTOLIN,5.0,ACIDO GIBERELICO,princípio ativo
GORLON,VERLON,2.0,"2,4 - D",princípio ativo
LIPROZAFE,AIRONE,5.0,HIDROXIDO DE COBRE,princípio ativo
"1,1 DIMILHYL 4,,4 - BIPYRIDINIUM",MISSIL,5.0,HALOXIFOPE-P-METILICO,princípio ativo
KARETE,ACETA,3.0,ACETAMIPRIDO,princípio ativo
ACTELLIO,BITELO,4.0,"2,4 - D",princípio ativo
KARATE ZEON,KRATON,3.0,LUFENUROM,princípio ativo
COLOSSO DE PULVERIZACAO,DEZ,1.0,"2,4 - D",princípio ativo
GRAMOAL,RASCAL,3.0,TRICLOPIR-BUTOTILICO,princípio ativo
PIRINEX,PIREO,3.0,LUFENUROM,princípio ativo
DECIS BAYER,DECISIVE,3.0,GLIFOSATO,princípio ativo
GRAMATOX,GAMATION,3.0,MALATIONA,princípio ativo
TOGAR TB,TOGAR TB,0.0,TRICLOPIR,princípio ativo
RITALINA,CYTOLIN,4.0,ACIDO GIBERELICO,princípio ativo
METHYL/BENZOATO,METRY,2.0,METRIBUZIM,princípio ativo
AMPLIGO,AMPLIGO ,1.0,LAMBDA-CIALOTRINA+CLORANTRANILIPROLE,princípio ativo
TURBO  STORE,ZARDO,3.0,"2,4 - D",princípio ativo
ELATUS,ELATUS,0.0,BENZOVINDIFLUPIR,princípio ativo
AZIMUT,AZIMUT,0.0,AZOXISTROBINA,princípio ativo
PLANADOR XT,PLANADOR XT,0.0,AMINOPIRALIDE,princípio ativo
AMISTAR,COSTAR,3.0,BACILLUS THURINGIENSIS,princípio ativo
KAISO250CS,ARES 250 CS,5.0,LAMBDA CIALOTRINA,princípio ativo
IMPACTO SC 125,IMPARBR,3.0,TIAMETOXAM,princípio ativo
TM 200,RITMO 280,4.0,PIRITIOBAQUE-SODICO,princípio ativo
DEAZEPAN,FEZAN,4.0,TEBUCONAZOL,princípio ativo
DIORAN,BLERAN,3.0,DIQUATE,princípio ativo
PANORAMIC,PANORAMIC,0.0,PICLORAM,princípio ativo
PODEROSO,PODEROSO,0.0,AMICARBAZONE,princípio ativo
IMIDACLOPRI (INSETICIDA),INSECT,5.0,METARHIZIUM ANISOPLIAE,princípio ativo
AMINOL 806,ALION,3.0,INDAZIFLAM,princípio ativo
CAUTER,CASTOR,2.0,FIPRONIL,princípio ativo
CEPEMETRINA,GESAMENA,6.0,AMETRINA,princípio ativo
ENGIOBRENIO,ENGEO PLENO,5.0,TIAMETOXAM,princípio ativo
SELECTA 240 CE,RELICTA,2.0,FLORPIRAUXIFEN-BENZIL,princípio ativo
PRODUTOS AGRICOLAS,PRODUTIVO,3.0,TIODICARBE,princípio ativo
CIPLITRIN,CALARIS,5.0,MESOTRIONA,princípio ativo
ATANOR 48,ALTACOR,2.0,CHLORANTRANILIPROLE,princípio ativo
FENOBARBITAL,HERBINA,7.0,"2,4 - D",princípio ativo
TRIGUVON SPOTEN,SPOT,2.0,DIMOXISTROBINA,princípio ativo
FALISUL,FYSIUM,4.0,METILCICLOPROPENO,princípio ativo
RADILON,ALION,3.0,INDAZIFLAM,princípio ativo
KARAT ZOON,DART,2.0,TEFLUBENZUROM,princípio ativo
DOIS 4 D,DIAMOND,5.0,TRICHODERMA KONINGIOPSIS,princípio ativo
DX,DUO,2.0,DIUROM,princípio ativo
AGRITOATO,AGRILIST,4.0,"2,4 - D",princípio ativo
ACTARA 250MG,ACETA,3.0,ACETAMIPRIDO,princípio ativo
JORDANA,JORNADA,2.0,PICLORAM,princípio ativo
BOTOX,HODOR,3.0,MANCOZEBE,princípio ativo
DITTDANE,OCTANE,4.0,TRICHODERMA HARZIANUM,princípio ativo
GASTROXIN 02COMP.,COPA,4.0,DIFLUBENZUROM,princípio ativo
ROUVAL,LOUSAL,2.0,TEBUCONAZOL,princípio ativo
PRIMPELUS BR,PRISMA PLUS,4.0,DIFENOCONAZOL,princípio ativo
ORGANOSFASFATO,GRASSATO,7.0,GLIFOSATO,princípio ativo
CIALATRINA,CALARIS,4.0,MESOTRIONA,princípio ativo
FUPLADAN,ESPADA,4.0,NICOSULFURON,princípio ativo
POLIOXIETILENO ALQUIFENOL,ALICERCE,6.0,MANCOZEBE,princípio ativo
ARTIS,ORBIS,2.0,TEBUCONAZOL,princípio ativo
DIAZERONA,DAYTONA,4.0,TRICHODERMA HARZIANUM,princípio ativo
FIOVENCI,BIOBACI,4.0,BACILLUS SUBTILIS,princípio ativo
JOINTOIL(JET OIL),ARTOIL,3.0,OLEO VEGETAL,princípio ativo
"2,2 DICLOROVINIL",NOCTOVI GL,7.0,Z-11 HEXADECENAL,princípio ativo
HALDOL,ZARDO,3.0,"2,4 - D",princípio ativo
DIAZEPAN 10 CP,NIPPON,5.0,NICOSSULFUROM,princípio ativo
GRAMASSONE,GAMATION,4.0,MALATIONA,princípio ativo
TENAZ,TEBAS,2.0,TEBUCONAZOL,princípio ativo
AZINPHOSETIL,SENSEI,8.0,BUPROFEZINA,princípio ativo
DEXOSON,DEORO,3.0,FLUMETRALIN,princípio ativo
PRATICO E HEMICOR,PRATICO,0.0,FLUTRIAFOL,princípio ativo
TREBON,TRUZON,2.0,CIPRODINIL,princípio ativo
ANTRACOL ALIETTE,ALICERCE,3.0,MANCOZEBE,princípio ativo
ONLY,ONIX,2.0,BACILLUS METHYLOTROPHICUS,princípio ativo
VOLCOME,VOLPE,3.0,DIUROM,princípio ativo
SUMIRODY 300,SUMO,4.0,"2,4 - D",princípio ativo
ACIDO PERACETICO 15%,ZARDO,3.0,"2,4 - D",princípio ativo
"DITHANE,SUMILEX",OCTANE,3.0,TRICHODERMA HARZIANUM,princípio ativo
NOVACRON,NADRAN,4.0,CLORETO DE MEPIQUATE,princípio ativo
KLORPAM,SORBA,4.0,LUFENUROM,princípio ativo
DIFLUBENZURAN,DIFLUCROP,7.0,DIFLUBENZUROM,princípio ativo
REPIRIDON,PIREO,5.0,LUFENUROM,princípio ativo
LOSPAN,GOPAN,2.0,DIQUATE,princípio ativo
BATISTON,BAVISTIN ,3.0,CARBENDAZIM,princípio ativo
GRAMOSCONI,GAMATION,5.0,MALATIONA,princípio ativo
ZAOO QI 620,ZAPP QI 620,2.0,GLIFOSATO,princípio ativo
SABAO SODICO,ZARDO,3.0,"2,4 - D",princípio ativo
ZETA,ZEUS,2.0,DINOTEFURAM,princípio ativo
MF RURAL,ROYAL,2.0,CRESOXIM-METILICO,princípio ativo
CRAFS . NIMBUS,NILLUS,2.0,CLOROTALONIL,princípio ativo
DORMAK,SORBA,3.0,LUFENUROM,princípio ativo
LORTINI E CONFIDOR,SORTIC,3.0,SULFOXAFLOR,princípio ativo
LOTAN,LOYANT,2.0,FLORPIRAUXIFEN-BENZIL,princípio ativo
STANDRAC,STANDAK,2.0,PIRACLOSTROBINA+TIOFANATO METILICO+FIPRONIL,princípio ativo
LAMARTI,DAMAST,3.0,AZOXISTROBINA,princípio ativo
DECIS 25 EC BAYER,DECISIVE,3.0,GLIFOSATO,princípio ativo
PREND 806,PREN-D,1.0,"2,4 - D",princípio ativo
PRODUTO USADO NO FUMO,SUMO,1.0,"2,4 - D",princípio ativo
"MARSHAL,ACTARA",MAXSAN,3.0,DINOTEFURAM,princípio ativo
ALFACIPERMETRINA,ALFACIPERMETRINA TEC,4.0,ALFA CIPERMETRINA,princípio ativo
ICON - LAMBDACIALOTRINA,NICO ,2.0,NICOSSULFUROM,princípio ativo
CARBONARA FOSFORO ESTERES FOSFITOS,FUORO,3.0,LUFENUROM,princípio ativo
CRUZER,TRUPER,2.0,FLUROXIPIR MEPTILICO+ TRICLOPIR BUTOTILICO,princípio ativo
URGE,AUGE,2.0,HIDROXIDO DE COBRE,princípio ativo
SPANDAK,STANDAK,1.0,PIRACLOSTROBINA+TIOFANATO METILICO+FIPRONIL,princípio ativo
FIPRAMIL 850 MG,PRAMILHO,4.0,NICOSULFURON,princípio ativo
FULADAN,FLAMA,3.0,FLUTRIAFOL,princípio ativo
TORDON',NORTON,3.0,"SAL TRIETANOLAMINADE 2,4 - D+SAL DE TRIETANOLAMINA DE PICLORAM",princípio ativo
ARTABRON,STARON,3.0,CLORIMUROM-ETILICO,princípio ativo
FOLIDEL,COLISEO,3.0,ATRAZINA,princípio ativo
SBP - ESPANTA PERNILONGO (BAYGON),ESPADA,2.0,NICOSULFURON,princípio ativo
AZULIM + KBOA,TROIA,3.0,MANCOZEBE,princípio ativo
WARFARINA,SUGARINA,4.0,AMETRINA,princípio ativo
ETEFAN,TEBAS,3.0,TEBUCONAZOL,princípio ativo
DETEFON COM COCA COLA,COPA,1.0,DIFLUBENZUROM,princípio ativo
MATERMINS,MATRIC,4.0,CROMAFENOZIDA,princípio ativo
BROMOSSONI,COMISSARIO,6.0,BIFENTRINA,princípio ativo
ORNAGOFOSFODO,CRONNOS OD,8.0,PICOXISTROBINA,princípio ativo
PARACAP,ARCAR,3.0,METARHIZIUM ANISOPLIAE,princípio ativo
METONIDOFOZ,METABIO,6.0,METARHIZIUM ANISOPLIAE,princípio ativo
ENDOSULFAN - CLOROCICLODIENO,ENDURO,6.0,AMINOPIRALIDE,princípio ativo
RATOMIN,CYTOLIN,3.0,ACIDO GIBERELICO,princípio ativo
FOLHAR,COUGAR,3.0,PIRIPROXIFENO,princípio ativo
TORDE/TORDON,LORD ,2.0,CLETODIN,princípio ativo
MONCEREN,MONARIS,4.0,AZOXISTROBINA,princípio ativo
CYPROCONAZOLE,SHAR-CONAZOL,5.0,TEBUCONAZOLE,princípio ativo
BARRAGE,ARRANGE,2.0,"2,4 - D",princípio ativo
KARATE 50 EC,KRATON,3.0,LUFENUROM,princípio ativo
FURAZIN 310,FARMOZINE,4.0,ATRAZINA,princípio ativo
APROVADO,PREDADOR,4.0,ESPIRODICLOFENO,princípio ativo
ARENA,ARENA ,1.0,"2,4 - D",princípio ativo
CERCOBIN 500 SC,CERCONIL,2.0,TIOFANATO METILICO,princípio ativo
2.40,ZEUS,4.0,DINOTEFURAM,princípio ativo
CURYOM 550 EC,CREOX,3.0,SULFENTRAZONA,princípio ativo
NORTRIN 250 CE,NORTON,2.0,"SAL TRIETANOLAMINADE 2,4 - D+SAL DE TRIETANOLAMINA DE PICLORAM",princípio ativo
SIPERNETRINA,WIPER XTRA,5.0,CLOROTALONIL,princípio ativo
SIPTRIN,SIPTROIL ,3.0,ATRAZINA,princípio ativo
HEBADOC,HODOR,4.0,MANCOZEBE,princípio ativo
PIRIMIFOX METILICO,METABIO,3.0,METARHIZIUM ANISOPLIAE,princípio ativo
0RGANOFO,BUCANERO,5.0,LAMBDA-CIALOTRINA,princípio ativo
ARCELIO,ARREIO,2.0,FLUROXIPIR-MEPTILICO,princípio ativo
FLURADAN,BLERAN,4.0,DIQUATE,princípio ativo
ANTOCOLINESTERASICOS,PROLINE TECNICO,10.0,PROTICONAZOL,princípio ativo
PLATINO DEL,DEZ,1.0,"2,4 - D",princípio ativo
BRUPROPIONA,PROTONE,6.0,ACIDO ABSCISICO,princípio ativo
INCON,NIPPON,3.0,NICOSSULFUROM,princípio ativo
CLIFOZFATO,GLIFOSAL,5.0,GLIFOSATO,princípio ativo
CABIAL/ ACTEHT/ DERANGE,ARRANGE,2.0,"2,4 - D",princípio ativo
FLUOZENAM,TOPINAM,5.0,TRICLOPIR-BUTOTILICO,princípio ativo
01 VIDRO DE RIVOTRIL,DEZ,1.0,"2,4 - D",princípio ativo
CURYON 550 EC,BURON,2.0,FLUTRIAFOL,princípio ativo
CIPEMERTRINA NORTOX,NORTON,1.0,"SAL TRIETANOLAMINADE 2,4 - D+SAL DE TRIETANOLAMINA DE PICLORAM",princípio ativo
RANPAP,RANMAN,2.0,CIAZOFAMIDA,princípio ativo
CATARPE,CARTARYS,3.0,CLORIDATO DE CARTAPE,princípio ativo
OLEO DIESEL,MISSIL,3.0,HALOXIFOPE-P-METILICO,princípio ativo
LAVA,LAVA,0.0,TEBUTHIURON,princípio ativo
VODOMIL,GARDOMIL,3.0,S-METOLACLORO,princípio ativo
LUNAT,UZAT,2.0,AZOXISTROBINA,princípio ativo
UBYFOL,HAFFOR,4.0,SULFOXAFLOR,princípio ativo
KELLDRIN SC25,KELTOR,4.0,SAFLUFENACIL,princípio ativo
BACILLUS THURINGIENSIS AIZAWAI GC-91,NILLUS,3.0,CLOROTALONIL,princípio ativo
K-OTRIN,TROIA,3.0,MANCOZEBE,princípio ativo
FULICUR,FYSIUM,4.0,METILCICLOPROPENO,princípio ativo
ALUMINIO PHOSPCHIDE,ALIBI,4.0,AZOXISTROBINA,princípio ativo
DELCI,CELTA,3.0,PHYTOSEIULUS MACROPILIS,princípio ativo
CARBONATOS,CARTARYS,5.0,CLORIDATO DE CARTAPE,princípio ativo
POLIOXIEFILENO ALQUIL FENOL ETER,FONTOP,3.0,FLUASIFOPE-P-BUTILICO,princípio ativo
BUPROFEZIN,PROFIX,5.0,BACILLUS SUBTILIS,princípio ativo
VITOAT COMUM,NOVUM,2.0,PIRACLOSTROBINA,princípio ativo
LAMBDACY HALOTHRIN,LEGACY,4.0,FLUAZINAM,princípio ativo
ABAMEDINA,ABAMEX BR,4.0,ABAMECTIN,princípio ativo
TUBERFORTE,BENFORCE,4.0,BENFURACARBE,princípio ativo
TORDY DNA,LORD ,2.0,CLETODIN,princípio ativo
"IMPACT 125 S.C. ,PREMIER PLUS",PREMIER PLUS,0.0,IMIDACLOPRIDO,princípio ativo
ORGA NOSFOSFORADO,SOBERANO,7.0,FLUTRIAFOL,princípio ativo
FOLIA,EFORIA,2.0,TIAMETOXAM+LAMBDA-CIALOTRINA,princípio ativo
METILCARBONATO DEBENZOFURONILA,METARFITO,7.0,METARHIZIUM ANISOPLIAE,princípio ativo
FORMILIX,TRILLA,5.0,DIUROM,princípio ativo
DEX CLORFERIRAMIRA,DEZ,1.0,"2,4 - D",princípio ativo
PREMIUN ABAMECKIN,PREMIO,2.0,FLUTRIAFOL,princípio ativo
AMITRIPITILINA,AMETISTA,8.0,BIFENTRINA,princípio ativo
TWISTER,WIPER,3.0,CLOROTALONIL,princípio ativo
ADUBO FOLHA MANZATI,DUO,2.0,DIUROM,princípio ativo
INIBIDOR DE COLENESTERASE,DEZ,1.0,"2,4 - D",princípio ativo
CARMONATO,CARTAGO,4.0,CLETODIM,princípio ativo
OXYFLUORFEN,FUORO,7.0,LUFENUROM,princípio ativo
MAXIMO PULVERIZACAO,MASUMO,2.0,LAMBDA-CIALOTRINA,princípio ativo
RATAP E AMINOL,ATAK,2.0,TEBUCONAZOL,princípio ativo
FENADOR 350SC,PREDADOR,3.0,ESPIRODICLOFENO,princípio ativo
TOMAX,TEMA ,2.0,CARBENDAZIM,princípio ativo
THIODON,HODOR,3.0,MANCOZEBE,princípio ativo
TEBUCONAROLE,NATUCONTROL,5.0,TRICHODERMA HARZIANUM,princípio ativo
TIGER 100 CE,TIGER 100 EW,2.0,PIRIPROXIFEM,princípio ativo
TRIDOPIR BETOTILICO,TRIVOR,3.0,ACETAMIPRIDO,princípio ativo
AGROPOLE,AGILE,4.0,CLETODIM,princípio ativo
ACEPHATE,ACETA,4.0,ACETAMIPRIDO,princípio ativo
KRAFT 36EC,GRANT,2.0,"2,4 - D",princípio ativo
REGENTI,PREVENT ,3.0,CARBENDAZIM,princípio ativo
PRODUTO QUIMICO,PRODUTIVO,2.0,TIODICARBE,princípio ativo
EXTERMINADOR,EXTERMINADOR BIO,4.0,BEAUVERIA BASSIANA,princípio ativo
SULFADIAZIDA DE PRATA,DEZ,1.0,"2,4 - D",princípio ativo
IOCTOX,FONTOP,3.0,FLUASIFOPE-P-BUTILICO,princípio ativo
ZETAPIR/GARLON,VERLON,2.0,"2,4 - D",princípio ativo
011,DUO,3.0,DIUROM,princípio ativo
N-FOSFONOMETIL,SENSEI,8.0,BUPROFEZINA,princípio ativo
KLARPAN 480 EC,BLERAN,3.0,DIQUATE,princípio ativo
"GOMIT,ACTARA,ALISTAR",ALSTAR ,2.0,BIFENTRINA,princípio ativo
SAL DE ISOPROPILAMINA ACIDO DE N INAPEDIENTES INERTES,DEZ,1.0,"2,4 - D",princípio ativo
DALCORTE,ALICERCE,4.0,MANCOZEBE,princípio ativo
INSETICIDA - BARAO,ZARDO,2.0,"2,4 - D",princípio ativo
GRAMOCIL,GARDOMIL,4.0,S-METOLACLORO,princípio ativo
CIPRIMETRINA,BIMETRON,6.0,AMETRINA,princípio ativo
HEAT,HEAT,0.0,SAFLUFENACIL,princípio ativo
ALFA CIANO 03,DINNO,2.0,DINOTEFURAM,princípio ativo
PROPLANT,PROPLANT,0.0,CLORIDRATO DE PROPAMOCARBE,princípio ativo
DMV 46,DAVOS,4.0,LAMBDA-CIALOTRINA,princípio ativo
CARBAFURONA,RAINBURON,6.0,DIUROM,princípio ativo
N FOSFORROMETIL-GLICINA,GLINT,3.0,HALOXIFOPE-P-METILICO,princípio ativo
QUIZALOFOPE-P-ETILICO,STILO,3.0,CHLORIMURON-ETHYL,princípio ativo
GERAFOR,DERMACOR,3.0,CLORANTRANILIPROLE,princípio ativo
AGUA SANITARIA - PINHO SOL,PIREO,2.0,LUFENUROM,princípio ativo
TORDAN,TARZAN,2.0,METSUFURON-METILICO,princípio ativo
METILCARBONATO DE BERZOFIRANILA,DEZ,1.0,"2,4 - D",princípio ativo
DRA,DUO,2.0,DIUROM,princípio ativo
METACITOX,METABIO,3.0,METARHIZIUM ANISOPLIAE,princípio ativo
DIANINON,DINNO,3.0,DINOTEFURAM,princípio ativo
FOLE SUPER,WIPER,2.0,CLOROTALONIL,princípio ativo
CAPATAZ,CAPATAZBR,2.0,CLORPIRIFOS,princípio ativo
DEPAKOTE 500 MG,CAPOTE,4.0,TEBUTIUROM,princípio ativo
DOMUS,DAVOS,3.0,LAMBDA-CIALOTRINA,princípio ativo
FOLICUR 200 EC,FYSIUM,4.0,METILCICLOPROPENO,princípio ativo
FERSAL 750 5P,FERRAX,2.0,TEBUCONAZOLE,princípio ativo
LAMBDA + CHLORANTRANILIPOLE,LAVRA,3.0,"2,4 - D",princípio ativo
REGENTE  20R,PRESENCE,3.0,BACILLUS LICHENIFORMIS,princípio ativo
"3,5 D",WILD,4.0,CLORPIRIFOS,princípio ativo
NEW MOET,HELMET,4.0,FLUTOLANIL,princípio ativo
NORTOX/NORTOX,NORTON,1.0,"SAL TRIETANOLAMINADE 2,4 - D+SAL DE TRIETANOLAMINA DE PICLORAM",princípio ativo
EXONINOMA,TOPINAM,5.0,TRICLOPIR-BUTOTILICO,princípio ativo
NEVRALGEX,REVOLUX,5.0,METOXIFENOZIDA,princípio ativo
COPISTAR,COSTAR,2.0,BACILLUS THURINGIENSIS,princípio ativo
DIMETILAMIPA,SIMBIO MIX,7.0,MANCOZEBE,princípio ativo
FUNGO,FUORO,2.0,LUFENUROM,princípio ativo
CURYON MAXY,BURON,2.0,FLUTRIAFOL,princípio ativo
CAROCO DE MAMONA,DEZ,1.0,"2,4 - D",princípio ativo
NUFURON,NUFURON ,1.0,METSUFURON-METILICO,princípio ativo
INTOXICACAO ALIMENTAR,MENTOR,4.0,DIURON,princípio ativo
